1:10-32-A047-A047-[S099,S099,B7753,B2408][E1412,E1425,E1425,E1412]
2:10-45-A047-A047-[S099,S099,S099,B2408,B2123,B6369][E1413,E1421,E1411,E1413,E1411,E1421]
3:18-50-A047-A047-[S099,S099,S099,B0547,B6369,B2408][E1414,E1422,E1420,E1420,E1422,E1414]
4:8-31-A047-A047-[S099,S099,B6369,B2408][E1415,E1423,E1423,E1415]
5:6-18-A047-A047-[S099,B2408][E1416,E1416]
816:28-33-A004-A065-[S429,B6407][E3195,E3195]
817:2-30-A025-A041-[S430,B2417][E3198,E3198]
818:6-30-A025-A025-[S430,B4240][E3199,E3199]
819:4-29-A025-A025-[S430,B4240][E3200,E3200]
820:2-29-A025-A025-[S430,B8853][E3201,E3201]
821:2-10-A040-A040-[S432,B5980][E3203,E3203]
822:2-29-A041-A025-[S438,B8853][E3222,E3222]
823:2-25-A004-A004-[S440,B0112][E3225,E3225]
824:2-25-A025-A025-[S442,B4933][E3230,E3230]
825:2-22-A025-A025-[S442,B1103][E3229,E3229]
826:2-28-A065-A065-[S444,B5775][E3239,E3239]
827:2-70-A025-A001-[S445,B5403][E3248,E3248]
828:2-35-A025-A025-[S445,B6506][E3251,E3251]
829:2-53-A025-A115-[S445,B6105][E3250,E3250]
830:4-84-A025-A118-[S445,B0994][E3256,E3256]
831:8-63-A025-A121-[S445,B3861][E3247,E3247]
832:4-72-A025-A010-[S445,B8314][E3255,E3255]
833:2-83-A025-A118-[S445,B0994][E3257,E3257]
834:4-100-A025-A002-[S445,S445,B1245,B7707][E3254,E3241,E3241,E3254]
835:18-64-A025-A098-[S445,B2634][E3243,E3243]
836:4-33-A025-A025-[S447,B6981][E3264,E3264]
837:8-38-A025-A025-[S447,B6767][E3263,E3263]
838:10-36-A025-A025-[S447,B6981][E3265,E3265]
839:6-33-A025-A025-[S447,B2022][E3262,E3262]
840:4-29-A065-A065-[S448,B5775][E3269,E3269]
841:4-27-A065-A065-[S448,B4291][E3267,E3267]
842:4-27-A065-A065-[S448,B0930][E3276,E3276]
843:6-29-A065-A092-[S448,B6665][E3273,E3273]
844:4-28-A065-A065-[S448,B2393][E3266,E3266]
845:2-25-A065-A004-[S448,B5240][E3268,E3268]
846:2-26-A065-A004-[S448,B7579][E3275,E3275]
847:8-30-A065-A092-[S448,B6665][E3274,E3274]
848:6-24-A041-A041-[S449,B7776][E3278,E3278]
849:4-24-A041-A041-[S449,B8134][E3279,E3279]
850:6-26-A041-A065-[S449,B8742][E3280,E3280]
851:4-28-A004-A004-[S451,B5937][E3287,E3287]
852:4-27-A004-A004-[S451,B5240][E3285,E3285]
853:2-26-A004-A092-[S451,B1186][E3283,E3283]
854:2-27-A004-A065-[S451,B5775][E3286,E3286]
855:18-33-A065-A092-[S452,B1186][E3288,E3288]
856:2-27-A065-A065-[S453,B4078][E3289,E3289]
857:2-27-A065-A065-[S455,B4494][E3296,E3296]
858:4-27-A065-A065-[S455,B6407][E3298,E3298]
859:14-57-A065-A065-[S455,S455,B9111,B5154][E3297,E3302,E3302,E3297]
860:4-27-A065-A065-[S455,B0930][E3303,E3303]
861:4-28-A065-A065-[S456,B1735][E3304,E3304]
862:4-28-A065-A065-[S458,B3745][E3309,E3309]
863:4-28-A065-A065-[S458,B5775][E3310,E3310]
864:4-28-A065-A004-[S459,B2399][E3311,E3311]
865:2-20-A065-A065-[S460,B1533][E3312,E3312]
866:2-21-A065-A065-[S460,B3995][E3313,E3313]
867:2-80-A065-A048-[S460,B8013][E3314,E3314]
868:2-25-A065-A065-[S461,B5095][E3316,E3316]
869:2-30-A065-A065-[S461,B3273][E3315,E3315]
870:4-28-A065-A065-[S462,B6434][E3318,E3318]
871:12-58-A065-A092-[S463,S463,S463,B0930,B6195,B6665][E3336,E3353,E3339,E3353,E3336,E3339]
872:4-45-A065-A065-[S463,S463,B3995,B0557][E3329,E3333,E3329,E3333]
873:26-76-A065-A065-[S463,S463,S463,S463,B7579,B2248,B7579,B0427][E3322,E3342,E3343,E3331,E3343,E3322,E3342,E3331]
874:10-45-A065-A065-[S463,S463,B8614,B3745][E3351,E3328,E3351,E3328]
875:30-81-A065-A065-[S463,S463,S463,S463,B7579,B5240,B1450,B0930][E3354,E3344,E3332,E3320,E3344,E3332,E3320,E3354]
876:18-88-A065-A065-[S463,S463,S463,S463,S463,B0930,B7579,B7973,B6665,B2393][E3345,E3349,E3340,E3355,E3323,E3355,E3345,E3349,E3340,E3323]
877:4-28-A065-A092-[S463,B6665][E3341,E3341]
878:2-27-A065-A004-[S463,B7579][E3346,E3346]
879:4-27-A065-A065-[S463,B0930][E3356,E3356]
880:2-27-A065-A004-[S463,B6195][E3337,E3337]
881:6-29-A065-A065-[S463,B5775][E3334,E3334]
882:4-28-A065-A004-[S463,B4260][E3330,E3330]
883:10-62-A065-A015-[S463,S463,B2399,B8686][E3324,E3352,E3324,E3352]
884:4-27-A065-A092-[S463,B1186][E3319,E3319]
885:4-47-A065-A065-[S464,S464,B5968,B5154][E3363,E3365,E3365,E3363]
886:2-24-A065-A065-[S464,B5968][E3366,E3366]
887:4-27-A065-A065-[S464,B5775][E3364,E3364]
888:4-25-A065-A065-[S464,B0930][E3368,E3368]
889:2-24-A065-A065-[S464,B3995][E3361,E3361]
890:8-20-A065-A065-[S465,B7904][E3369,E3369]
891:2-26-A065-A065-[S466,B5775][E3371,E3371]
892:4-27-A065-A065-[S466,B3745][E3370,E3370]
893:2-27-A065-A092-[S466,B6665][E3372,E3372]
894:6-23-A065-A065-[S467,B6817][E3373,E3373]
895:10-42-A065-A065-[S468,S468,B0089,B4831][E3376,E3377,E3377,E3376]
896:8-25-A065-A041-[S468,B3750][E3375,E3375]
897:2-18-A065-A065-[S469,B6407][E3378,E3378]
898:8-25-A065-A065-[S470,B5154][E3380,E3380]
899:10-56-A065-A004-[S471,S471,S471,B8614,B4729,B1450][E3382,E3383,E3384,E3384,E3383,E3382]
900:2-25-A065-A004-[S471,B1245][E3381,E3381]
901:4-24-A065-A065-[S474,B8742][E3397,E3397]
902:6-21-A065-A065-[S474,B6497][E3396,E3396]
903:6-19-A065-A065-[S474,B9111][E3398,E3398]
904:8-66-A065-A065-[S476,S476,S476,B6195,B6890,B0557][E3408,E3413,E3409,E3409,E3413,E3408]
905:4-19-A065-A065-[S476,B8614][E3417,E3417]
906:4-17-A065-A065-[S476,B6434][E3411,E3411]
907:4-26-A065-A065-[S476,S476,B7760,B7904][E3416,E3414,E3414,E3416]
908:4-24-A065-A092-[S476,B4818][E3405,E3405]
909:4-27-A065-A065-[S476,B0497][E3406,E3406]
910:2-20-A065-A065-[S476,B0622][E3410,E3410]
911:6-36-A065-A065-[S478,S478,B2393,B5154][E3426,E3424,E3424,E3426]
912:4-25-A065-A065-[S478,B3745][E3425,E3425]
913:2-24-A065-A065-[S478,B5489][E3427,E3427]
914:2-25-A065-A092-[S482,B1186][E3450,E3450]
915:2-24-A065-A004-[S482,B5240][E3451,E3451]
916:24-27-A065-A065-[S483,B6600][E3460,E3460]
917:20-23-A065-A065-[S483,B6890][E3461,E3461]
918:22-25-A065-A065-[S483,B4320][E3459,E3459]
919:32-31-A065-A041-[S483,B3965][E3457,E3457]
920:50-49-A065-A041-[S483,S483,B3750,B3089][E3455,E3454,E3455,E3454]
921:16-26-A065-A041-[S483,B3750][E3456,E3456]
922:18-23-A065-A065-[S483,B6890][E3462,E3462]
923:16-24-A065-A065-[S483,B2323][E3452,E3452]
924:6-23-A092-A092-[S484,B4847][E3469,E3469]
925:6-28-A092-A040-[S484,B3003][E3467,E3467]
926:4-23-A092-A088-[S485,B3804][E3472,E3472]
927:4-26-A065-A065-[S486,B3464][E3474,E3474]
928:6-24-A065-A065-[S486,B0540][E3477,E3477]
929:2-16-A065-A065-[S486,B4320][E3476,E3476]
930:4-21-A065-A065-[S486,B6600][E3478,E3478]
931:4-19-A065-A065-[S486,B2323][E3473,E3473]
932:2-28-A065-A065-[S487,B5734][E3480,E3480]
933:6-22-A065-A065-[S489,B8614][E3509,E3509]
934:14-67-A065-A004-[S489,S489,S489,B1186,B0557,B7579][E3505,E3486,E3500,E3486,E3500,E3505]
935:18-44-A065-A065-[S489,S489,B3995,B5095][E3497,E3495,E3495,E3497]
936:6-20-A065-A065-[S489,B8697][E3510,E3510]
937:14-30-A065-A065-[S489,B3745][E3490,E3490]
938:6-28-A065-A065-[S489,B4078][E3496,E3496]
939:2-18-A065-A065-[S489,B7904][E3506,E3506]
940:12-32-A065-A004-[S489,B2399][E3489,E3489]
941:14-30-A065-A065-[S489,B3745][E3491,E3491]
942:16-30-A065-A065-[S489,B3745][E3492,E3492]
943:12-29-A065-A065-[S489,B3745][E3493,E3493]
944:2-25-A065-A065-[S489,B3745][E3494,E3494]
945:8-31-A065-A092-[S489,B6665][E3503,E3503]
946:6-29-A065-A004-[S489,B1450][E3487,E3487]
947:4-19-A065-A065-[S490,B2965][E3512,E3512]
948:18-53-A065-A065-[S490,S490,B0622,B2844][E3513,E3511,E3513,E3511]
949:14-43-A065-A065-[S491,S491,B3745,B2965][E3515,E3514,E3515,E3514]
950:2-18-A065-A065-[S491,B8697][E3518,E3518]
951:4-33-A065-A065-[S493,S493,B8742,B6679][E3533,E3532,E3533,E3532]
952:2-16-A065-A065-[S493,B8742][E3534,E3534]
953:4-18-A065-A065-[S493,B2674][E3528,E3528]
954:4-33-A065-A065-[S494,S494,B5968,B6497][E3541,E3544,E3541,E3544]
955:2-21-A065-A065-[S494,B2631][E3535,E3535]
956:2-24-A065-A065-[S494,B0497][E3538,E3538]
957:2-15-A065-A065-[S494,B7533][E3547,E3547]
958:4-22-A065-A065-[S494,B0540][E3539,E3539]
959:4-36-A065-A015-[S494,B0805][E3548,E3548]
960:2-16-A065-A065-[S494,B8742][E3550,E3550]
961:6-25-A065-A065-[S494,B3415][E3537,E3537]
962:2-16-A065-A065-[S494,B8742][E3551,E3551]
963:2-22-A065-A065-[S494,B6817][E3545,E3545]
964:4-19-A065-A065-[S494,B5968][E3542,E3542]
965:4-20-A065-A065-[S494,B6890][E3546,E3546]
966:2-14-A065-A065-[S495,B1416][E3552,E3552]
967:8-35-A065-A065-[S495,S495,B1416,B7533][E3562,E3553,E3553,E3562]
968:4-15-A065-A065-[S495,B1416][E3554,E3554]
969:4-16-A065-A065-[S495,B7533][E3563,E3563]
970:2-17-A065-A065-[S495,B0089][E3567,E3567]
971:4-15-A065-A065-[S495,B4320][E3558,E3558]
972:2-14-A065-A065-[S495,B4320][E3559,E3559]
973:4-47-A065-A025-[S495,B4458][E3560,E3560]
974:4-37-A065-A065-[S495,S495,B1416,B6150][E3561,E3555,E3555,E3561]
975:2-26-A065-A041-[S495,B7776][E3564,E3564]
976:6-130-A094-A069-[S260,B7948,S142,S142,B3198,B3198][E2214,E2214,E1599,E1600,E1600,E1599]
